City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,Yulara,-25.2406,130.9889,73.24,16,97,14.97,AU,2021-09-25 00:42:14
105,Nikolskoye,59.7035,30.7861,46.87,93,100,6.67,RU,2021-09-25 00:42:14
106,Grindavik,63.8424,-22.4338,40.95,93,75,8.05,IS,2021-09-25 00:42:15
107,Soroti,1.7146,33.6111,65.91,88,100,2.68,UG,2021-09-25 00:42:15
108,Kodiak,57.79,-152.4072,51.31,25,1,13.8,US,2021-09-25 00:42:15
109,Norman Wells,65.282,-126.8329,39.24,81,90,11.5,CA,2021-09-25 00:37:17
110,Ponta Do Sol,32.6667,-17.1,68.63,68,2,0.38,PT,2021-09-25 00:42:16
111,Kapaa,22.0752,-159.319,82.38,77,90,1.01,US,2021-09-25 00:42:16
112,Cabo San Lucas,22.8909,-109.9124,88.61,70,20,4.61,MX,2021-09-25 00:40:54
113,Manakara,-22.1333,48.0167,68.9,85,80,5.7,MG,2021-09-25 00:42:17
114,Yar-Sale,66.8333,70.8333,33.26,90,16,6.53,RU,2021-09-25 00:40:57
115,Atuona,-9.8,-139.0333,77.97,79,100,16.8,PF,2021-09-25 00:42:17
116,Ziro,27.6333,93.8333,59.65,91,26,2.06,IN,2021-09-25 00:42:18
117,Biggar,55.6167,-3.5167,57.54,91,98,8.7,GB,2021-09-25 00:42:18
118,Ha Giang,22.8333,104.9833,77.41,95,100,0.29,VN,2021-09-25 00:42:18
119,Zhangjiakou,40.81,114.8794,62.31,90,98,7.78,CN,2021-09-25 00:41:28
120,Kruisfontein,-34.0033,24.7314,50.88,90,46,4.97,ZA,2021-09-25 00:42:19
121,Seoul,37.5683,126.9778,69.4,75,0,4.61,KR,2021-09-25 00:42:19
122,Churachandpur,24.3333,93.6667,69.46,88,11,1.97,IN,2021-09-25 00:42:20
123,Jamestown,42.097,-79.2353,57.72,79,1,1.99,US,2021-09-25 00:42:20
124,Hamilton,39.1834,-84.5333,63.9,71,1,5.75,US,2021-09-25 00:42:20
125,Vila Franca Do Campo,37.7167,-25.4333,70.2,80,99,6.53,PT,2021-09-25 00:42:21
126,Stornoway,58.2093,-6.3865,52.93,93,75,8.05,GB,2021-09-25 00:42:21
127,Mount Isa,-20.7333,139.5,85.77,13,6,8.05,AU,2021-09-25 00:42:21
128,Cordoba,-31.4135,-64.1811,66.76,44,0,1.01,AR,2021-09-25 00:37:23
129,Victoria,22.2855,114.1577,87.22,80,71,1.01,HK,2021-09-25 00:38:15
130,Qaanaaq,77.484,-69.3632,14.38,68,25,8.19,GL,2021-09-25 00:42:22
131,Adrar,20.5022,-10.0711,88.54,20,43,5.95,MR,2021-09-25 00:42:23
132,Taltal,-25.4,-70.4833,59.7,72,13,3.6,CL,2021-09-25 00:40:20
133,Tomatlan,19.9333,-105.25,79.63,91,100,4.18,MX,2021-09-25 00:42:23
134,Severo-Kurilsk,50.6789,156.125,47.43,93,100,30.2,RU,2021-09-25 00:42:23
135,Xifeng,42.7372,124.7222,60.71,96,100,8.66,CN,2021-09-25 00:42:07
136,Wajima,37.4,136.9,72.28,64,20,11.5,JP,2021-09-25 00:41:23
137,Cherskiy,68.75,161.3,34.07,96,100,10.11,RU,2021-09-25 00:40:53
138,Ust-Nera,64.5667,143.2,47.53,52,89,7.18,RU,2021-09-25 00:42:24
139,Hobyo,5.3505,48.5268,77.07,86,74,21.79,SO,2021-09-25 00:42:24
140,Acapulco,16.8634,-99.8901,85.82,79,75,5.75,MX,2021-09-25 00:42:25
141,Sioux Lookout,50.1001,-91.917,52.18,58,75,10.36,CA,2021-09-25 00:42:26
142,Roald,62.5833,6.1333,52.9,87,75,17.27,NO,2021-09-25 00:42:26
143,Chincholi,17.4667,77.4333,73.58,91,100,3.69,IN,2021-09-25 00:42:27
144,Hirado,33.3597,129.5531,80.38,72,100,7.94,JP,2021-09-25 00:42:27
145,Saskylakh,71.9167,114.0833,31.17,88,100,12.68,RU,2021-09-25 00:42:27
146,Beira,-19.8436,34.8389,67.6,77,0,2.44,MZ,2021-09-25 00:42:28
147,Sechura,-5.5569,-80.8222,65.48,80,11,15.43,PE,2021-09-25 00:42:28
148,Katsuura,35.1333,140.3,78.19,73,68,16.4,JP,2021-09-25 00:40:17
